id,season,team1,team2,toss_winner,toss_decision,winner,venue
1370353,2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad"
1370352,2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad"
1370351,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
1370350,2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1359543,2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"Wankhede Stadium, Mumbai"
1359544,2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru"
1359542,2023,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,"Eden Gardens, Kolkata"
1359541,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,"Arun Jaitley Stadium, Delhi"
1359540,2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1359539,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1359538,2023,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1359537,2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1359536,2023,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad"
1359534,2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur"
1359535,2023,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
1359533,2023,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,"Arun Jaitley Stadium, Delhi"
1359532,2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1359531,2023,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,"Wankhede Stadium, Mumbai"
1359530,2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Eden Gardens, Kolkata"
1359529,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1359528,2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"Wankhede Stadium, Mumbai"
1359527,2023,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1359525,2023,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad"
1359526,2023,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur"
1359524,2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1359523,2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1359522,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur"
1359521,2023,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1359520,2023,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
